Ref,Val,Package,PosX,PosY,Rot,Side
"J8","SM06B-SRSS-TB(LF)(SN)","JST_SM06B-SRSS-TB(LF)(SN)",0.017780,10.035540,90.000000,bottom
"C1","100nF","C_THT_100nF_L9.0mm_W2.0mm_P5.00mm_P7.50mm",8.940800,2.355800,180.000000,top
"C2","100nF","C_THT_100nF_L9.0mm_W2.0mm_P5.00mm_P7.50mm",98.069400,9.972800,90.000000,top
"C3","100nF","C_THT_100nF_L9.0mm_W2.0mm_P5.00mm_P7.50mm",87.553800,4.413000,0.000000,top
"G***","LOGO","logo luftdaten.info",60.631400,5.513400,0.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",79.375000,3.938400,90.000000,top
"J2","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",5.943600,14.173200,0.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",103.156000,12.439400,0.000000,top
"J4","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical",98.171000,6.705600,0.000000,top
"J5","RJ12","RJ12_Amphenol_54601",108.778040,6.614640,90.000000,top
"J6","RJ12","RJ12_Pulse_E5566Q0LK22L",121.544080,9.271000,90.000000,top
"J7","SM06B-SRSS-TB(LF)(SN)","JST_SM06B-SRSS-TB(LF)(SN)",0.017780,10.035540,-90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",82.551600,7.215200,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",78.995600,7.215200,90.000000,top
"U1","Teensy4.0","Teensy40",34.874200,9.753600,180.000000,top
"U2","P82B715PN,112","DIP254P762X420-8",86.107600,9.755200,-90.000000,top
"U3","P82B715DR","SOIC8",89.890600,13.614400,-90.000000,top
