Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",129.560320,-95.506540,180.000000,top
"C2","1uF","C_0603_1608Metric",135.757920,-92.196920,-90.000000,top
"C3","100nF","C_0603_1608Metric",210.154520,-92.263060,-90.000000,top
"C4","100nF","C_0603_1608Metric",157.988000,-93.456760,-90.000000,top
"C5","100nF","C_0603_1608Metric",154.813000,-93.395800,-90.000000,top
"C6","100nF","C_0603_1608Metric",118.785640,-92.364560,-90.000000,top
"C7","47pF","C_0603_1608Metric",214.203280,-93.774260,0.000000,top
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",105.944000,-91.977140,0.000000,top
"R1","100K","R_0603_1608Metric",214.208360,-92.115640,0.000000,top
"U1","LP5907MFX-3.3","SOT-23-5",131.437380,-92.341700,0.000000,top
"U2","ADAU7002ACBZ-R7","ADAU7002",213.690200,-95.754700,0.000000,top
"U3","SN74LV1T34DBVR","SOT95P280X145-5N",161.592260,-96.720660,0.000000,top
"U4","SN74LV1T34DBVR","SOT95P280X145-5N",151.203660,-94.345760,0.000000,top
"U5","SN74LV1T34DBVR","SOT95P280X145-5N",115.288060,-92.529660,0.000000,top
